Coin Name,Crypto Filter,Date,Close**,High,Low,Market Cap,Open*,Volume
Dogecoin - Doge,False,1/1/2023,0.07022,0.07069,0.06929,9316760629,0.07029,185279750
Dogecoin - Doge,False,1/2/2023,0.07145,0.07248,0.06936,9479833048,0.07022,405800240
Dogecoin - Doge,False,1/3/2023,0.07047,0.0722,0.06977,9349054553,0.07146,283398864
Dogecoin - Doge,False,1/4/2023,0.07324,0.07325,0.07031,9716401773,0.07047,343264145
Dogecoin - Doge,False,1/5/2023,0.07155,0.07503,0.0714,9492545948,0.07323,424927580
Dogecoin - Doge,False,1/6/2023,0.07247,0.07257,0.07034,9614600394,0.07155,306914647
Dogecoin - Doge,False,1/7/2023,0.07222,0.07284,0.07188,9581788863,0.07247,173703551
Dogecoin - Doge,False,1/8/2023,0.0736,0.07361,0.07155,9764721216,0.07221,246133445
Dogecoin - Doge,False,1/9/2023,0.07578,0.07921,0.07326,10054365218,0.07359,853703837
Dogecoin - Doge,False,1/10/2023,0.07773,0.07773,0.07469,10312306819,0.07577,492952309
Dogecoin - Doge,False,1/11/2023,0.07815,0.07818,0.07518,10368674341,0.07773,394318759
Dogecoin - Doge,False,1/12/2023,0.08029,0.08072,0.07699,10651569958,0.07814,706796194
Dogecoin - Doge,False,1/13/2023,0.08444,0.08492,0.07918,11202457807,0.08028,575039277
Dogecoin - Doge,False,1/14/2023,0.08732,0.09187,0.08436,11585273514,0.08444,1101070507
Dogecoin - Doge,False,1/15/2023,0.08613,0.08769,0.08313,11427062081,0.08733,501123418
Dogecoin - Doge,False,1/16/2023,0.08364,0.0879,0.08231,11096046663,0.08613,537067710
Dogecoin - Doge,False,1/17/2023,0.08298,0.08472,0.08276,11009257200,0.08365,366437449
Dogecoin - Doge,False,1/18/2023,0.08019,0.08946,0.08017,10638963800,0.08298,1094371447
Dogecoin - Doge,False,1/19/2023,0.08166,0.08205,0.08013,10833941746,0.08017,337970684
Dogecoin - Doge,False,1/20/2023,0.0864,0.08676,0.08077,11463151612,0.08165,444441989
Dogecoin - Doge,False,1/21/2023,0.08476,0.08871,0.08476,11245805170,0.08641,716057148
Dogecoin - Doge,False,1/22/2023,0.0883,0.09289,0.08477,11715406938,0.08477,794717541
Dogecoin - Doge,False,1/23/2023,0.08861,0.09115,0.08733,11755355649,0.08831,661273714
Dogecoin - Doge,False,1/24/2023,0.08395,0.09059,0.08366,11137744759,0.08858,559881331
Dogecoin - Doge,False,1/25/2023,0.08659,0.08788,0.08245,11488491728,0.08397,542521010
Dogecoin - Doge,False,1/26/2023,0.08637,0.08736,0.08555,11459228982,0.08657,424196515
Dogecoin - Doge,False,1/27/2023,0.08712,0.08775,0.08452,11558717347,0.08637,400056534
Dogecoin - Doge,False,1/28/2023,0.08779,0.09297,0.08712,11646893474,0.08712,642333816
Dogecoin - Doge,False,1/29/2023,0.09023,0.09086,0.08754,11971321807,0.08778,458157342
Dogecoin - Doge,False,1/30/2023,0.08834,0.09184,0.0854,11719727298,0.09022,787132771
Dogecoin - Doge,False,1/31/2023,0.09617,0.09733,0.08833,12758594171,0.08833,1542889216
Dogecoin - Doge,False,2/1/2023,0.09417,0.0966,0.08875,12493728323,0.09616,1110308356
Dogecoin - Doge,False,2/2/2023,0.09098,0.09575,0.09096,12070233606,0.09414,776556390
Dogecoin - Doge,False,2/3/2023,0.09299,0.09321,0.09067,12336635854,0.09098,548668917
Dogecoin - Doge,False,2/4/2023,0.09578,0.09953,0.09266,12707495340,0.09298,1071858301
Dogecoin - Doge,False,2/5/2023,0.0921,0.09673,0.09097,12218343438,0.09575,753364305
Dogecoin - Doge,False,2/6/2023,0.08955,0.0931,0.08906,11880478652,0.0921,488311044
Dogecoin - Doge,False,2/7/2023,0.09258,0.09263,0.08952,12282087342,0.08954,512569389
Dogecoin - Doge,False,2/8/2023,0.09016,0.09314,0.08917,11961084826,0.09256,462925887
Dogecoin - Doge,False,2/9/2023,0.08148,0.09076,0.08017,10810039741,0.09016,819008026
Dogecoin - Doge,False,2/10/2023,0.08109,0.08288,0.08041,10758235295,0.08148,516764147
Dogecoin - Doge,False,2/11/2023,0.08237,0.08251,0.08079,10928347807,0.08107,244141279
Dogecoin - Doge,False,2/12/2023,0.08214,0.08542,0.08174,10898077867,0.08235,448723137
Dogecoin - Doge,False,2/13/2023,0.08216,0.0862,0.07998,10899636149,0.08214,752090969
Dogecoin - Doge,False,2/14/2023,0.08353,0.08365,0.08127,11082535446,0.08214,427664094
Dogecoin - Doge,False,2/15/2023,0.08929,0.08935,0.08283,11846290891,0.08353,846713153
Dogecoin - Doge,False,2/16/2023,0.08504,0.09126,0.08497,11282898310,0.08928,849757697
Dogecoin - Doge,False,2/17/2023,0.08777,0.08841,0.08471,11643955727,0.08506,447263733
Dogecoin - Doge,False,2/18/2023,0.08893,0.08982,0.08697,11797997109,0.08776,397918582
Dogecoin - Doge,False,2/19/2023,0.08697,0.08974,0.08629,11537848507,0.08893,505191212
Dogecoin - Doge,False,2/20/2023,0.08821,0.08863,0.08585,11702676475,0.08699,449906814
Dogecoin - Doge,False,2/21/2023,0.08541,0.08871,0.08485,11331777471,0.08822,483249308
Dogecoin - Doge,False,2/22/2023,0.08553,0.08746,0.08325,11347820986,0.08542,765182582
Dogecoin - Doge,False,2/23/2023,0.08429,0.08637,0.08393,11183044914,0.08554,351385340
Dogecoin - Doge,False,2/24/2023,0.0809,0.0849,0.07989,10733124752,0.08429,449138535
Dogecoin - Doge,False,2/25/2023,0.08079,0.08178,0.07906,10717881956,0.08091,316321963
Dogecoin - Doge,False,2/26/2023,0.0822,0.08247,0.08058,10905805148,0.08078,218231642
Dogecoin - Doge,False,2/27/2023,0.08135,0.0822,0.0802,10793363610,0.0822,267030813
Dogecoin - Doge,False,2/28/2023,0.08075,0.08274,0.0802,10713046353,0.08136,370709700
Dogecoin - Doge,False,3/1/2023,0.08196,0.08256,0.08054,10874289911,0.08076,260501052
Dogecoin - Doge,False,3/2/2023,0.08052,0.08217,0.07986,10682666199,0.08197,225493749
Dogecoin - Doge,False,3/3/2023,0.07678,0.08057,0.07424,10186027366,0.08053,564252293
Dogecoin - Doge,False,3/4/2023,0.07456,0.07716,0.0731,9891452842,0.07678,267382234
