date,bitcoin_price,bitcoin_market_cap,bitcoin_total_volume,dogecoin_price,dogecoin_market_cap,dogecoin_total_volume
6/16/2020,9431.719262,173598215784,29160908897,0.002471519,308939930.3,148884120
6/17/2020,9524.926617,175075304218,26391020757,0.002482315,310325685.8,144231710
6/18/2020,9463.361414,174231189757,23643218251,0.00247546,309629857.4,133883372
6/19/2020,9399.767217,173034439846,20601074386,0.002459697,307564709.1,116189638
6/20/2020,9312.780104,171101646024,23738525502,0.002444395,305034568.4,129030058
6/21/2020,9360.247968,172323213442,19774464253,0.002450615,306496993.6,111854350
6/22/2020,9298.360829,171192409474,18986237382,0.002443673,305662614.4,111928121
6/23/2020,9678.683209,178128652480,24768621257,0.002477902,309978338.1,130949234
6/24/2020,9624.684292,177187041227,17756804210,0.00247488,309300276.6,112014389
6/25/2020,9288.061774,171028279702,23183760292,0.002420458,302858875.2,131959062
6/26/2020,9258.667161,170495281892,23499175984,0.002409627,301536937.8,109759532
6/27/2020,9166.48636,168807143703,22429204011,0.002357859,295428579.1,108353615
6/28/2020,9013.905565,166004979430,21515626881,0.002298343,287701051.7,105652716
6/29/2020,9139.903276,168334049772,19665935217,0.002315533,289858452,126780704
6/30/2020,9185.166541,169175896894,19754459583,0.002309657,289081753.4,121204872
7/1/2020,9149.721997,168558715595,19741435780,0.002315974,289978285.4,124372837
7/2/2020,9230.672999,170031996603,20005031554,0.002358261,295473388.3,103350655
7/3/2020,9094.318072,167604994105,19379463385,0.002327179,291344439.5,63481908
7/4/2020,9071.385043,167116284671,17420495829,0.002305199,288759721.6,63141653
7/5/2020,9132.90837,168258822207,16643732673,0.002310605,289659524.7,66586116
7/6/2020,9087.407313,167429736493,17324463886,0.002305647,288823207.3,73147492
7/7/2020,9342.376493,172136257752,21987059042,0.002600865,324376835.9,87267638
7/8/2020,9253.63098,170510411872,18945747769,0.003052224,382479055.9,221702332
7/9/2020,9432.172516,173809293390,20708592426,0.00474406,594339744.7,1160341960
7/10/2020,9235.716302,170198606144,19480413474,0.004374596,548308638.7,430964505
7/11/2020,9282.913639,171104767642,18224423468,0.003544287,446234010.2,277250306
7/12/2020,9234.314675,170191069703,16167064476,0.003804777,476993604.7,201664365
7/13/2020,9297.479636,171364106456,17173962880,0.003639311,456300095.8,129403956
7/14/2020,9240.76252,170370727819,18245667827,0.003161029,393114320.5,179141962
7/15/2020,9247.060696,170451532162,19147263017,0.003291632,412799771.1,140953983
7/16/2020,9203.371435,169758848798,16565948995,0.003089114,387445086.6,109574219
7/17/2020,9136.483376,168496782961,18760484380,0.002993475,376069213,119584582
7/18/2020,9156.276583,168760444137,16500659022,0.003067465,384482519.6,120670354
7/19/2020,9168.402737,169031588403,15638459043,0.003497214,441694537.2,245241741
7/20/2020,9202.61584,169692625142,16085385662,0.003387694,425081838.3,183481048
7/21/2020,9163.159655,168936986921,17080393205,0.003233985,405839356.5,158255255
7/22/2020,9384.379752,173036757676,20048075731,0.003304789,414595539.2,150316469
7/23/2020,9514.304988,175370017197,19702428931,0.003282826,412054060.2,103035469
7/24/2020,9589.817719,176821599774,26966148756,0.003296238,413572228.8,108172720
7/25/2020,9535.938796,175865705418,35810926085,0.003223852,404728572.1,112909917
7/26/2020,9691.825139,178740874539,36726067828,0.003260945,410561866.7,111134959
7/27/2020,9925.751397,183064851468,19713211085,0.003234498,406154075,106754751
7/28/2020,10962.25848,202191797991,34694788844,0.003124243,392352069.9,116948210
7/29/2020,10904.91653,201144184191,27637575180,0.003190183,401849911.4,101675134
7/30/2020,11093.61224,204969785091,23642111784,0.003165246,398101909.3,96494495
7/31/2020,11116.30716,205200775318,22265381996,0.003236619,406372448.4,97619245
8/1/2020,11325.55153,208933774575,22329797905,0.003203694,402780720.3,87495379
8/2/2020,11812.09431,217741425309,26198946496,0.003706901,467039121.4,189722237
8/3/2020,11066.30624,204126077225,27584591853,0.003338535,420429350.2,134791620
8/4/2020,11230.90776,207218525402,20583344057,0.003383427,425536506.2,107337870
8/5/2020,11181.91751,206583502228,20527193171,0.003539728,444138455.1,119131130
8/6/2020,11719.26352,216249264844,22359870185,0.003506588,440880176.6,118440407
8/7/2020,11768.12774,217128467890,21793317051,0.003557507,446347339.2,106062512
8/8/2020,11571.48798,213579066889,21624736673,0.00348046,437682076.3,172595669
8/9/2020,11739.13101,216526346494,17286825185,0.003500841,440037973,174507223
8/10/2020,11682.85147,215621627428,17051550191,0.003459179,435018819.3,156911880
8/11/2020,11862.93801,218920276229,24145919191,0.003491412,438993651.6,165789779
8/12/2020,11398.67106,210825577055,24448699831,0.003392916,426851729.6,166589721
8/13/2020,11579.86795,213770877598,22803776235,0.003468203,435477570.9,192483773
8/14/2020,11817.16404,217185020505,24755770184,0.003475584,436270064.5,186884065
8/15/2020,11777.39132,216916952670,21650925952,0.003565642,448655549.2,168616113
8/16/2020,11864.90581,219049736823,21285690553,0.003535862,444957534.8,139339382
8/17/2020,11901.77649,219750735623,19209711614,0.003528348,444060855.3,153938645
8/18/2020,12272.46581,226536103502,25481896191,0.003604679,453754467.1,156313176
8/19/2020,11949.61097,220980135332,24825715159,0.003503307,441006364.9,164627570
8/20/2020,11733.27897,216660276173,23384200656,0.003420762,430662605.6,156615204
8/21/2020,11861.83658,219044968221,20353349055,0.003446781,433986248.3,173128139
8/22/2020,11515.1243,212896669546,23406354443,0.003384307,426368126.7,175010652
8/23/2020,11676.38531,215641597240,19572783954,0.003443644,433687186.9,159336753
8/24/2020,11647.92812,215347356765,18467219109,0.003411937,429382341.7,137749412
8/25/2020,11758.82812,217410678530,20061559392,0.00340308,427299862,155243881
8/26/2020,11350.75347,209658632328,23423332919,0.003288978,414344679,156830695
8/27/2020,11465.00256,211778947737,20869928786,0.003288437,414322072.1,170734081
8/28/2020,11300.39836,208747591910,21595917446,0.003190146,402012074.8,169144170
8/29/2020,11519.11839,212799723685,19271253871,0.003268351,411882061.8,183848936
8/30/2020,11481.48182,212114842612,18415439614,0.003281164,413541572.6,193821341
8/31/2020,11701.00401,216179629567,19909556667,0.003295589,414616017.2,176682136
9/1/2020,11672.3241,215921598551,21077276618,0.003215635,405652921.4,184353787
9/2/2020,11895.22535,221315690777,25232603062,0.003233402,410342291.9,188077468
9/3/2020,11418.25476,210746091570,26038738389,0.003091417,389604298.4,119362427
9/4/2020,10197.45982,188438095255,49411126241,0.002787694,351549697.7,138600098
9/5/2020,10484.47039,194040447576,27623487077,0.002897016,366711396.7,141872359
9/6/2020,10177.78972,188092098308,56430042199,0.002742094,346063586.9,138532133
9/7/2020,10260.01773,189621410257,28801019507,0.002772364,349731791.6,160023367
9/8/2020,10359.44522,191501904759,26560146962,0.002826473,356752788.8,169336091
9/9/2020,10125.01496,186825391249,47780699209,0.002769596,348215107.5,152411544
9/10/2020,10230.1547,188757938084,21357083446,0.002778821,350661184.8,115436170
9/11/2020,10342.15939,191180566587,77545788531,0.002812731,354979160.4,163488675
9/12/2020,10378.22304,192111562750,20796810116,0.002786621,352758323.6,150887311
9/13/2020,10439.38467,192997988416,19955498078,0.002820805,355632828.3,134048170
9/14/2020,10328.86607,190922719938,21057424433,0.002778062,350719443,132954530
9/15/2020,10661.09624,197010021430,23526143436,0.002794983,353129088.1,146588554
9/16/2020,10787.58021,199044338128,23802088944,0.002838068,357370626.1,130436953
9/17/2020,10952.24997,202524001250,24459086809,0.002820393,356002619,155392568
9/18/2020,10937.9964,202358479464,23547167125,0.002816493,355887623.2,170633292
9/19/2020,10927.15031,202091264905,20681771888,0.002780667,351370413.7,155984975
9/20/2020,11083.99836,204994315603,18334274060,0.002786582,352026916.8,157760533
9/21/2020,10923.32667,202032519471,20161733907,0.002771605,350172659.3,165563596
9/22/2020,10439.52249,193677795064,23757059692,0.002620975,332685818.3,129491987
9/23/2020,10527.58785,194731087415,19866578109,0.002646176,333107659.3,109840858
9/24/2020,10223.78411,189120580778,19981974722,0.002541716,321232114.9,87446068
9/25/2020,10726.53008,198514026300,21348447554,0.002634527,333546263.4,122307586
9/26/2020,10681.99385,197616950282,19119761059,0.002699482,340940106.6,133860799
9/27/2020,10743.19288,198687083452,16886146730,0.002701436,341467884,116122724
9/28/2020,10765.30052,199236216251,17639951628,0.00270402,342050718.1,85237004
9/29/2020,10672.02854,197720212771,19869963340,0.002652682,335439035.2,108007302
9/30/2020,10837.51659,200532996048,18308943801,0.002671013,337793589.4,117696788
10/1/2020,10770.88135,199310441689,18558607663,0.002630055,333197389.8,113949671
10/2/2020,10627.97606,196617081791,20889752500,0.002630094,332691524.3,125254206
10/3/2020,10572.67484,195660035180,21258724984,0.002583625,326849474.3,137496941
10/4/2020,10546.65626,195188285650,16039831145,0.002588335,328320976.9,127186814
10/5/2020,10670.70081,197494664454,16029160488,0.002636484,333330546.6,103115065
10/6/2020,10784.9494,199530129891,17853484006,0.002615562,330997825.2,141202489
10/7/2020,10605.95779,196314284797,19419734685,0.002606527,329890404.2,116780008
10/8/2020,10668.01101,197575523785,17222472600,0.002585136,327397083.3,126750695
10/9/2020,10888.66655,201518932274,19767968267,0.002593558,328086240.9,108287118
10/10/2020,11063.25239,204809205392,19254933802,0.00266176,335713884.7,102421985
10/11/2020,11286.54194,209268690953,19496631246,0.002655919,336574307.3,98879402
10/12/2020,11377.81488,210799352797,16270141990,0.002668313,337894411.1,105760362
10/13/2020,11543.18376,213726225963,20957733314,0.002679869,339394535.6,98587198
10/14/2020,11426.10554,211576163358,19556025069,0.002637402,334010355.2,81979158
10/15/2020,11435.57244,211756280001,20441486195,0.002648955,335281826.1,92411043
10/16/2020,11495.585,212878404237,20511481707,0.002590363,328138628.8,83563069
10/17/2020,11319.09779,209993205751,20436703034,0.002605701,330748499.6,114388487
10/18/2020,11365.81413,210421523307,15650920221,0.002594713,328237703.8,129773085
10/19/2020,11495.89998,212752326976,15569792414,0.002599566,329291126.4,74475417
10/20/2020,11752.14686,217391050813,18121468516,0.00260246,329815560.7,89163323
10/21/2020,11908.70892,220404884319,21431994056,0.002600124,328009972.9,59221115
10/22/2020,12806.43573,236717318526,29314287990,0.002622197,331735170.7,41535361
10/23/2020,12951.04406,240257678154,25070864647,0.002655021,336635193.7,44994738
10/24/2020,12928.0723,239590543524,21379873278,0.002647005,336385839.3,46544309
10/25/2020,13106.04602,242785151288,19302801175,0.002637384,334863453.2,46390497
10/26/2020,13021.41084,241326618199,18998745579,0.002653297,336656207.2,55959553
10/27/2020,13060.79221,242141178090,21507619986,0.002672886,339025558.4,102845432
10/28/2020,13655.18542,253004886697,23918511528,0.002676274,339492203.5,73738233
10/29/2020,13282.99935,245661872194,26825856788,0.00259056,328654738.8,74612874
10/30/2020,13441.8785,249545455596,22860841954,0.002585819,328650433.6,66466907
10/31/2020,13537.17427,250845436638,23482756915,0.002589971,328568259.1,59934493
11/1/2020,13778.63764,255329261021,22691200479,0.0025629,325251670.1,59252178
11/2/2020,13720.36147,254260250528,19771957708,0.002574845,326802903.1,53350848
11/3/2020,13558.3618,251266177558,22630851230,0.002524852,320474308.7,55521139
11/4/2020,13989.97636,259277183165,22602862338,0.002519626,319863845.1,68660360
11/5/2020,14101.71605,261103557611,25857225138,0.002520693,319758149.1,69983439
11/6/2020,15553.3317,288118007577,36313255719,0.002655216,336504090.4,70147423
11/7/2020,15548.31215,288563189165,34523587705,0.002757415,350155278.8,90412510
11/8/2020,14818.45891,274687727890,30369855795,0.002672199,336953267.1,69340167
11/9/2020,15496.31615,287116472704,24082570972,0.002681396,345344778.9,46106797
11/10/2020,15335.3422,284292217076,29501754043,0.002673317,339595730,54172574
11/11/2020,15278.70966,283242342239,21918753733,0.002764884,351265740.5,62506709
11/12/2020,15686.90599,291215273242,23990613793,0.002770092,351348658.4,55166843
11/13/2020,16265.14925,301529322417,28001128791,0.00278663,354103512.6,42492330
11/14/2020,16326.81488,302672502422,24826304420,0.002838131,360686896.3,49101076
11/15/2020,16095.56151,298290647831,22096608221,0.002753265,349939417.6,49169560
11/16/2020,15984.67378,296277008765,19184714603,0.002780403,353448378.8,43634951
11/17/2020,16714.40386,309857769717,24606359052,0.002895581,368108023.5,65269356
11/18/2020,17651.82043,327448838765,31572384446,0.002944599,374357159.7,66560629
11/19/2020,17829.93496,330792375072,40089857655,0.002919964,371288621.4,62937646
11/20/2020,17819.75743,330526082019,30586797552,0.002904592,369373741.7,74924639
11/21/2020,18628.81349,345552251091,28731271104,0.002989555,380219646.1,81530241
11/22/2020,18689.52866,346623937352,31201880852,0.003510111,446351399.6,185253838
11/23/2020,18390.61184,342078349285,33010231294,0.003346886,430016060.3,156220976
11/24/2020,18360.6933,340635146714,33389683851,0.003590159,456754683.8,132541741
11/25/2020,19091.52418,354209935574,49429532567,0.00415381,528521952.2,274092978
11/26/2020,18753.28892,348158099247,32146102840,0.003725841,473486067.8,188627821
11/27/2020,17138.02951,317999016791,48738957777,0.003248732,413451233,175112452
11/28/2020,17140.27555,318057301370,30680336583,0.003281445,417659896.3,113629478
11/29/2020,17718.97283,328812520406,24501260966,0.003414204,434604524.1,97440479
11/30/2020,18169.95421,336495192223,23940328529,0.003449534,434295427.6,84050076
12/1/2020,19609.52144,363927715779,36160827241,0.003560699,453349206.1,99796545
12/2/2020,18857.41737,349587593227,38614628144,0.003358532,427180905,109457481
12/3/2020,19208.39819,356517705143,28923102075,0.003379964,430431470.5,84065260
12/4/2020,19435.20485,360661550057,24342606871,0.003420637,436200080.3,79865144
12/5/2020,18711.22655,347850442857,26369871383,0.003308823,421462226.4,73957627
12/6/2020,19139.11158,355244908735,23333284386,0.003394701,432447333.4,71160004
12/7/2020,19325.55412,358762118305,21832193873,0.003387468,431572835.7,64970454
12/8/2020,19198.80649,356587934226,22034483384,0.003338012,426848799.3,66960747
12/9/2020,18336.51458,340435142948,26799991796,0.003184176,407375728.1,72979848
12/10/2020,18564.98646,344693077430,29806757749,0.003154872,402070260.7,74879642
12/11/2020,18262.05838,339714540194,24092658534,0.003116112,397073749.5,64835102
12/12/2020,18058.02734,335310805699,26080197328,0.003079334,392528272.5,72096645
12/13/2020,18807.0954,349235537026,21918803314,0.003167718,403838360.5,66469333
12/14/2020,19151.13442,355642790361,23550581096,0.00326343,416084732.4,64356677
12/15/2020,19259.97047,357681110300,21638023120,0.003224838,411207642.4,61430801
12/16/2020,19432.36246,360542942205,24173322660,0.00321581,409873944.7,66017116
12/17/2020,21317.66214,396179736656,39062639738,0.003423607,437240009.9,72803218
12/18/2020,22805.65581,423587689809,60693764159,0.003726364,475313350.5,180330384
12/19/2020,23120.57055,429459534590,37000188847,0.003843981,487874217.2,128526321
12/20/2020,23863.85484,443289431125,35252972900,0.003924839,500738033.8,126133587
