,Date,Day,Month,Quarter,CSI,gallup_banks,gallup_bigbiz,gallup_police,gallup_pres,CPI,GDP
1075,2016-10-21,4,10,4.0,91.45806451612903,28.534246575342465,18.92054794520548,56.30684931506849,34.772602739726025,1.664516129032258,1.8690352459016393
1076,2016-10-22,5,10,4.0,91.67096774193548,28.54794520547945,18.92876712328767,56.30958904109589,34.76164383561644,1.667741935483871,1.8661967213114754
1077,2016-10-23,6,10,4.0,91.88387096774193,28.561643835616437,18.936986301369863,56.31232876712329,34.75068493150685,1.6709677419354838,1.8633581967213115
1078,2016-10-24,0,10,4.0,92.09677419354838,28.575342465753426,18.945205479452056,56.31506849315068,34.73972602739726,1.6741935483870967,1.8605196721311477
1079,2016-10-25,1,10,4.0,92.30967741935484,28.589041095890412,18.953424657534246,56.31780821917808,34.72876712328767,1.6774193548387097,1.8576811475409838
1080,2016-10-26,2,10,4.0,92.52258064516128,28.602739726027398,18.96164383561644,56.320547945205476,34.71780821917808,1.6806451612903226,1.8548426229508197
1081,2016-10-27,3,10,4.0,92.73548387096774,28.616438356164384,18.96986301369863,56.323287671232876,34.706849315068496,1.6838709677419355,1.8520040983606558
1082,2016-10-28,4,10,4.0,92.9483870967742,28.63013698630137,18.97808219178082,56.326027397260276,34.6958904109589,1.6870967741935483,1.8491655737704917
1083,2016-10-29,5,10,4.0,93.16129032258064,28.643835616438356,18.986301369863014,56.32876712328767,34.68493150684932,1.6903225806451612,1.8463270491803279
1084,2016-10-30,6,10,4.0,93.3741935483871,28.65753424657534,18.994520547945207,56.33150684931507,34.673972602739724,1.6935483870967742,1.843488524590164
1085,2016-10-31,0,10,4.0,93.58709677419354,28.671232876712327,19.002739726027396,56.33424657534247,34.66301369863014,1.696774193548387,1.8406500000000001
1086,2016-11-01,1,11,4.0,93.8,28.684931506849313,19.01095890410959,56.33698630136986,34.652054794520545,1.7,1.8378114754098362
1087,2016-11-02,2,11,4.0,93.94666666666666,28.698630136986303,19.01917808219178,56.33972602739726,34.64109589041096,1.7133333333333334,1.8349729508196722
1088,2016-11-03,3,11,4.0,94.09333333333333,28.71232876712329,19.027397260273972,56.342465753424655,34.63013698630137,1.7266666666666666,1.8321344262295083
1089,2016-11-04,4,11,4.0,94.24,28.726027397260275,19.035616438356165,56.345205479452055,34.61917808219178,1.74,1.8292959016393442
1090,2016-11-05,5,11,4.0,94.38666666666667,28.73972602739726,19.043835616438358,56.347945205479455,34.608219178082194,1.7533333333333334,1.8264573770491803
1091,2016-11-06,6,11,4.0,94.53333333333333,28.753424657534246,19.052054794520547,56.35068493150685,34.5972602739726,1.7666666666666666,1.8236188524590164
1092,2016-11-07,0,11,4.0,94.67999999999999,28.767123287671232,19.06027397260274,56.35342465753425,34.586301369863016,1.78,1.8207803278688526
1093,2016-11-08,1,11,4.0,94.82666666666667,28.78082191780822,19.06849315068493,56.35616438356164,34.57534246575342,1.7933333333333332,1.8179418032786887
1094,2016-11-09,2,11,4.0,94.97333333333333,28.794520547945204,19.076712328767123,56.35890410958904,34.56438356164384,1.8066666666666666,1.8151032786885246
1095,2016-11-10,3,11,4.0,95.12,28.80821917808219,19.084931506849315,56.36164383561644,34.553424657534244,1.82,1.8122647540983607
1096,2016-11-11,4,11,4.0,95.26666666666667,28.82191780821918,19.09315068493151,56.364383561643834,34.54246575342466,1.8333333333333333,1.8094262295081966
1097,2016-11-12,5,11,4.0,95.41333333333333,28.835616438356166,19.101369863013698,56.367123287671234,34.53150684931507,1.8466666666666667,1.8065877049180328
1098,2016-11-13,6,11,4.0,95.56,28.84931506849315,19.10958904109589,56.36986301369863,34.52054794520548,1.86,1.803749180327869
1099,2016-11-14,0,11,4.0,95.70666666666666,28.863013698630137,19.11780821917808,56.37260273972603,34.50958904109589,1.8733333333333333,1.800910655737705
1100,2016-11-15,1,11,4.0,95.85333333333334,28.876712328767123,19.126027397260273,56.37534246575343,34.4986301369863,1.8866666666666667,1.7980721311475412
1101,2016-11-16,2,11,4.0,96.0,28.89041095890411,19.134246575342466,56.37808219178082,34.487671232876714,1.9,1.795233606557377
1102,2016-11-17,3,11,4.0,96.14666666666666,28.904109589041095,19.14246575342466,56.38082191780822,34.47671232876712,1.9133333333333333,1.7923950819672132
1103,2016-11-18,4,11,4.0,96.29333333333334,28.91780821917808,19.15068493150685,56.38356164383562,34.465753424657535,1.9266666666666667,1.789556557377049
1104,2016-11-19,5,11,4.0,96.44,28.931506849315067,19.15890410958904,56.38630136986301,34.45479452054794,1.94,1.7867180327868852
1105,2016-11-20,6,11,4.0,96.58666666666667,28.945205479452056,19.16712328767123,56.38904109589041,34.443835616438356,1.9533333333333334,1.7838795081967214
1106,2016-11-21,0,11,4.0,96.73333333333333,28.958904109589042,19.175342465753424,56.391780821917806,34.43287671232877,1.9666666666666668,1.7810409836065575
1107,2016-11-22,1,11,4.0,96.88,28.972602739726028,19.183561643835617,56.394520547945206,34.42191780821918,1.98,1.7782024590163936
1108,2016-11-23,2,11,4.0,97.02666666666667,28.986301369863014,19.19178082191781,56.397260273972606,34.41095890410959,1.9933333333333334,1.7753639344262295
1109,2016-11-24,3,11,4.0,97.17333333333333,29.0,19.2,56.4,34.4,2.006666666666667,1.7725254098360657
1110,2016-11-25,4,11,4.0,97.32000000000001,29.013698630136986,19.208219178082192,56.4027397260274,34.38904109589041,2.02,1.7696868852459016
1111,2016-11-26,5,11,4.0,97.46666666666667,29.027397260273972,19.21643835616438,56.40547945205479,34.37808219178082,2.033333333333333,1.7668483606557377
1112,2016-11-27,6,11,4.0,97.61333333333333,29.041095890410958,19.224657534246575,56.40821917808219,34.367123287671234,2.046666666666667,1.7640098360655738
1113,2016-11-28,0,11,4.0,97.76,29.054794520547944,19.232876712328768,56.41095890410959,34.35616438356164,2.06,1.76117131147541
1114,2016-11-29,1,11,4.0,97.90666666666667,29.06849315068493,19.24109589041096,56.413698630136984,34.345205479452055,2.0733333333333333,1.758332786885246
1115,2016-11-30,2,11,4.0,98.05333333333334,29.08219178082192,19.24931506849315,56.416438356164385,34.33424657534247,2.086666666666667,1.755494262295082
1116,2016-12-01,3,12,4.0,98.2,29.095890410958905,19.257534246575343,56.41917808219178,34.323287671232876,2.1,1.7526557377049181
1117,2016-12-02,4,12,4.0,98.20967741935485,29.10958904109589,19.265753424657532,56.42191780821918,34.31232876712329,2.1129032258064515,1.749817213114754
1118,2016-12-03,5,12,4.0,98.21935483870968,29.123287671232877,19.273972602739725,56.42465753424658,34.3013698630137,2.1258064516129034,1.7469786885245902
