Begins At,Sentiment,Vader Prediction
2/5/2019,negative,-0.07491
2/6/2019,positive,0.17005
2/7/2019,neutral,0.009925000
2/8/2019,negative,-0.07988
2/9/2019,neutral,0.02769
2/10/2019,positive,0.084383333
2/11/2019,neutral,-0.0152
2/12/2019,negative,-0.138711111
2/13/2019,negative,-0.059766667
2/14/2019,positive,0.05453
2/15/2019,neutral,-0.04244
2/16/2019,neutral,0.045457143
2/17/2019,positive,0.413175
2/18/2019,positive,0.08538
2/19/2019,neutral,0.03599
2/20/2019,neutral,-0.01679
2/21/2019,positive,0.07343
2/22/2019,positive,0.08651
2/23/2019,positive,0.0526875
2/24/2019,neutral,0.0485
2/25/2019,neutral,0.04373
2/26/2019,positive,0.18895
2/27/2019,neutral,-0.03157
2/28/2019,negative,-0.06546
3/1/2019,negative,-0.050711111
3/2/2019,positive,0.1969
3/3/2019,neutral,-0.036642857
3/4/2019,positive,0.05032
3/5/2019,negative,-0.17509
3/6/2019,positive,0.167188889
3/7/2019,neutral,-0.01023
3/8/2019,negative,-0.12065
3/9/2019,negative,-0.088028571
3/10/2019,neutral,-0.003083333
3/11/2019,positive,0.064688889
3/12/2019,positive,0.0779
3/13/2019,neutral,-0.01333
3/14/2019,negative,-0.143888889
3/15/2019,positive,0.145488889
3/16/2019,neutral,0.008600000
3/17/2019,negative,-0.274925
3/18/2019,positive,0.12989
3/19/2019,positive,0.19762
3/20/2019,neutral,0.024575
3/21/2019,neutral,-0.002600000
3/22/2019,neutral,-0.010188889
3/23/2019,neutral,0.003685714
3/24/2019,positive,0.062633333
3/25/2019,negative,-0.12325
3/26/2019,negative,-0.07295
3/27/2019,positive,0.11857
3/28/2019,positive,0.06262
3/29/2019,positive,0.15586
3/30/2019,negative,-0.16528
3/31/2019,neutral,-0.009085714
4/1/2019,positive,0.0739
4/2/2019,positive,0.15744
4/3/2019,positive,0.05859
4/4/2019,negative,-0.09533
4/5/2019,neutral,0.02253
4/6/2019,neutral,0.031314286
4/7/2019,negative,-0.08799
4/8/2019,negative,-0.09777
4/9/2019,neutral,0.019033333
4/10/2019,positive,0.06223
4/11/2019,positive,0.07148
4/12/2019,neutral,0.04278
4/13/2019,neutral,-0.043833333
4/14/2019,positive,0.07636
4/15/2019,positive,0.13668
4/16/2019,positive,0.09144
4/17/2019,neutral,-0.03614
4/18/2019,neutral,0.0127
4/19/2019,negative,-0.08941
4/20/2019,negative,-0.426133333
4/21/2019,neutral,0.04785
4/22/2019,positive,0.062833333
4/23/2019,neutral,0.04095
4/24/2019,positive,0.075
4/25/2019,neutral,0.0366
4/26/2019,neutral,0.01154
4/27/2019,negative,-0.1947
4/28/2019,negative,-0.130877778
4/29/2019,neutral,0.02978
4/30/2019,neutral,-0.04176
5/1/2019,neutral,0.02581
5/2/2019,negative,-0.0531
5/3/2019,negative,-0.072533333
5/4/2019,negative,-0.20358
5/5/2019,positive,0.091071429
5/6/2019,negative,-0.105345455
5/7/2019,negative,-0.15229
5/8/2019,positive,0.117
5/9/2019,negative,-0.1349
5/10/2019,positive,0.185888889
5/11/2019,positive,0.0624375
5/12/2019,negative,-0.20134
5/13/2019,neutral,0.04886
5/14/2019,positive,0.1247
5/15/2019,positive,0.08718
5/16/2019,negative,-0.05224
5/17/2019,neutral,-0.041644444
5/18/2019,neutral,-0.020916667
5/19/2019,negative,-0.129785714
5/20/2019,negative,-0.213055556
5/21/2019,negative,-0.05994
5/22/2019,neutral,0.03045
5/23/2019,positive,0.17915
5/24/2019,positive,0.08754
5/25/2019,positive,0.12652
5/26/2019,negative,-0.155233333
5/27/2019,neutral,-0.0252875
5/28/2019,negative,-0.07813
5/29/2019,positive,0.062666667
5/30/2019,positive,0.09041
5/31/2019,neutral,0.002390000
6/1/2019,neutral,0
6/2/2019,neutral,0.009614286
6/3/2019,neutral,-0.03968
6/4/2019,negative,-0.114777778
6/5/2019,neutral,0.02362
6/6/2019,negative,-0.12905
6/7/2019,neutral,-0.04419
6/8/2019,negative,-0.056575
6/9/2019,positive,0.091975
6/10/2019,positive,0.11914
6/11/2019,negative,-0.07611
6/12/2019,negative,-0.130722222
6/13/2019,neutral,0.00305
6/14/2019,negative,-0.120522222
6/15/2019,negative,-0.28595
6/16/2019,positive,0.117566667
6/17/2019,neutral,0.03337
6/18/2019,negative,-0.12382
6/19/2019,positive,0.14051
6/20/2019,neutral,0.036566667
6/21/2019,neutral,0.02705
6/22/2019,neutral,0
6/23/2019,negative,-0.162557143
6/24/2019,neutral,-0.04332
6/25/2019,positive,0.07074
6/26/2019,negative,-0.17223
6/27/2019,positive,0.07529
6/28/2019,neutral,-0.014822222
6/29/2019,positive,0.116822222
6/30/2019,positive,0.07834
7/1/2019,positive,0.074177778
7/2/2019,neutral,0.02969
7/3/2019,negative,-0.302675
7/4/2019,neutral,0.004277778
7/5/2019,positive,0.11183
7/6/2019,neutral,0
7/7/2019,positive,0.12349
7/8/2019,neutral,-0.02512
7/9/2019,neutral,0.03629
7/10/2019,positive,0.13411
7/11/2019,neutral,-0.00595
7/12/2019,negative,-0.063066667
7/13/2019,neutral,0.01486
7/14/2019,positive,0.08735
7/15/2019,negative,-0.238522222
7/16/2019,neutral,-0.01902
7/17/2019,positive,0.17683
7/18/2019,negative,-0.11129
7/19/2019,positive,0.066490909
7/20/2019,neutral,0.012383333
7/21/2019,negative,-0.3032
7/22/2019,negative,-0.20387
7/23/2019,neutral,-0.01116
7/24/2019,neutral,-0.016525
7/25/2019,positive,0.1809
7/26/2019,negative,-0.152844444
7/27/2019,positive,0.133966667
7/28/2019,neutral,-0.001755556
7/29/2019,neutral,0.02647
7/30/2019,negative,-0.226311111
7/31/2019,positive,0.05202
8/1/2019,negative,-0.10648
8/2/2019,positive,0.11417
8/3/2019,neutral,0
8/4/2019,negative,-0.063633333
8/5/2019,negative,-0.09941
8/6/2019,positive,0.111066667
8/7/2019,neutral,0.01587
8/8/2019,negative,-0.13748
8/9/2019,negative,-0.11104
8/10/2019,negative,-0.05364
8/11/2019,negative,-0.144575
8/12/2019,neutral,-0.021977778
8/13/2019,positive,0.20608
8/14/2019,negative,-0.178471429
8/15/2019,negative,-0.08099
8/16/2019,neutral,-0.044055556
8/17/2019,negative,-0.5267
8/18/2019,neutral,0
8/19/2019,positive,0.17303
8/20/2019,positive,0.07354
8/21/2019,positive,0.09334
8/22/2019,negative,-0.07388
8/23/2019,positive,0.05481
8/24/2019,neutral,0.015257143
8/25/2019,positive,0.125085714
8/26/2019,neutral,0.0078125
8/27/2019,neutral,-0.03279
8/28/2019,neutral,0.0103
8/29/2019,positive,0.16597
8/30/2019,positive,0.051342857
8/31/2019,positive,0.073475
9/1/2019,negative,-0.3624
9/2/2019,negative,-0.183928571
9/3/2019,positive,0.28149
9/4/2019,positive,0.128475
9/5/2019,neutral,6.000000000e-05
9/6/2019,negative,-0.120822222
9/7/2019,positive,0.067433333
9/8/2019,positive,0.325875
9/9/2019,neutral,-0.04998
9/10/2019,positive,0.3029375
9/11/2019,negative,-0.0979625
9/12/2019,negative,-0.11497
9/13/2019,neutral,0
9/14/2019,positive,0.11362
9/15/2019,neutral,-0.007333333
9/16/2019,neutral,-0.00157
9/17/2019,neutral,-0.028955556
9/18/2019,positive,0.18811
9/19/2019,neutral,0.01651
9/20/2019,positive,0.10289
9/21/2019,positive,0.102322222
9/22/2019,neutral,0
9/23/2019,neutral,0.001511111
9/24/2019,negative,-0.08559
9/25/2019,positive,0.19501
9/26/2019,negative,-0.315688889
9/27/2019,neutral,-0.0203
9/28/2019,positive,0.24805
9/29/2019,neutral,0.033914286
9/30/2019,positive,0.08097
10/1/2019,negative,-0.09555
10/2/2019,neutral,-0.01887
10/3/2019,neutral,0.00133
10/4/2019,neutral,0.00236
10/5/2019,negative,-0.101566667
10/6/2019,neutral,0
10/7/2019,positive,0.05098
10/8/2019,neutral,-3.000000000e-05
10/9/2019,neutral,0.04051
10/10/2019,neutral,-0.005980000
10/11/2019,negative,-0.3356
10/12/2019,neutral,0.01056
10/13/2019,neutral,0
10/14/2019,positive,0.066611111
10/15/2019,negative,-0.06288
10/16/2019,neutral,0.0116
10/17/2019,positive,0.0547
10/18/2019,neutral,-0.02319
10/19/2019,positive,0.109675
10/20/2019,positive,0.1611
10/21/2019,positive,0.08442
10/22/2019,negative,-0.18657
10/23/2019,neutral,-0.000775000
10/24/2019,neutral,0.023677778
10/25/2019,negative,-0.11702
10/26/2019,negative,-0.08985
10/27/2019,neutral,-0.01564
10/28/2019,positive,0.11309
10/29/2019,neutral,0.02571
10/30/2019,positive,0.064655556
10/31/2019,neutral,0.00714
11/1/2019,negative,-0.11164
11/2/2019,negative,-0.13
11/3/2019,neutral,-0.0206
11/4/2019,positive,0.093188889
11/5/2019,positive,0.06837
11/6/2019,neutral,0.03106
11/7/2019,positive,0.15666
11/8/2019,negative,-0.08573
11/9/2019,positive,0.118933333
11/10/2019,positive,0.06112
11/11/2019,negative,-0.1012
11/12/2019,positive,0.08742
11/13/2019,neutral,-0.03863
11/14/2019,neutral,0.04655
11/15/2019,positive,0.0596
11/16/2019,neutral,-0.03605
11/17/2019,negative,-0.077942857
11/18/2019,neutral,-0.03306
11/19/2019,positive,0.05991
11/20/2019,positive,0.16517
11/21/2019,positive,0.17394
11/22/2019,negative,-0.192966667
11/23/2019,positive,0.11388
11/24/2019,neutral,-0.0318
11/25/2019,neutral,-0.0204
11/26/2019,negative,-0.09969
11/27/2019,neutral,-0.039725
11/28/2019,negative,-0.13088
11/29/2019,neutral,0.007244444
11/30/2019,neutral,0.025442857
12/1/2019,neutral,0.04114
12/2/2019,positive,0.145844444
12/3/2019,neutral,-0.025311111
12/4/2019,neutral,-0.02273
12/5/2019,negative,-0.172655556
12/6/2019,negative,-0.051555556
12/7/2019,negative,-0.13958
12/8/2019,neutral,0
12/9/2019,neutral,0.03311
12/10/2019,positive,0.162055556
12/11/2019,positive,0.2947
12/12/2019,neutral,-0.02333
12/13/2019,neutral,0.038875
12/14/2019,positive,0.067433333
12/15/2019,negative,-0.064516667
12/16/2019,neutral,0.03971
12/17/2019,negative,-0.14334
12/18/2019,positive,0.0953
12/19/2019,positive,0.075471429
12/20/2019,negative,-0.08926
12/21/2019,positive,0.12079
12/22/2019,negative,-0.138775
12/23/2019,neutral,0.04919
12/24/2019,positive,0.19481
12/25/2019,neutral,0
12/26/2019,neutral,0.03315
12/27/2019,positive,0.12738
12/28/2019,positive,0.06942
12/29/2019,positive,0.10304
12/30/2019,neutral,-0.016266667
12/31/2019,neutral,-0.004928571
1/1/2020,negative,-0.261233333
1/2/2020,neutral,0.01272
1/3/2020,neutral,0.032
1/4/2020,positive,0.100475
1/5/2020,neutral,0.0258
1/6/2020,negative,-0.18272
1/7/2020,neutral,0.038575
1/8/2020,negative,-0.1099375
1/9/2020,neutral,0.0096
1/10/2020,positive,0.146833333
1/11/2020,positive,0.118
1/12/2020,positive,0.075433333
1/13/2020,positive,0.14281
1/14/2020,positive,0.09274
1/15/2020,neutral,-0.02797
1/16/2020,positive,0.131188889
1/17/2020,negative,-0.134166667
1/18/2020,neutral,0.036
1/19/2020,neutral,-0.0444
1/20/2020,positive,0.23916
1/21/2020,positive,0.13921
1/22/2020,neutral,0.02263
1/23/2020,neutral,-0.03658
1/24/2020,neutral,0.024033333
1/25/2020,neutral,0.02375
1/26/2020,negative,-0.214877778
1/27/2020,negative,-0.18018
1/28/2020,positive,0.0597
1/29/2020,positive,0.19803
1/30/2020,neutral,0.028488889
1/31/2020,positive,0.086988889
2/1/2020,neutral,0.038325
2/2/2020,positive,0.1458
2/3/2020,positive,0.260933333
2/4/2020,positive,0.15107
2/5/2020,positive,0.065466667
2/6/2020,neutral,0.02348
2/7/2020,negative,-0.0918875
2/8/2020,negative,-0.569966667
2/9/2020,positive,0.12498
2/10/2020,positive,0.080022222
2/11/2020,negative,-0.11433
2/12/2020,positive,0.0627625
2/13/2020,negative,-0.22743
2/14/2020,negative,-0.0758875
2/16/2020,positive,0.0683875
2/17/2020,neutral,-0.00912
2/18/2020,neutral,-0.02474
2/19/2020,neutral,0.03304
2/20/2020,negative,-0.07367
2/21/2020,negative,-0.2451
2/22/2020,negative,-0.0731
2/23/2020,positive,0.082866667
2/24/2020,negative,-0.08387
2/25/2020,negative,-0.05825
2/26/2020,negative,-0.076588889
2/27/2020,negative,-0.1405125
2/28/2020,negative,-0.23083
2/29/2020,neutral,-0.002414286
3/1/2020,negative,-0.082816667
3/2/2020,negative,-0.191877778
3/3/2020,negative,-0.21107
3/4/2020,neutral,-0.001611111
3/5/2020,neutral,0.029466667
3/6/2020,negative,-0.157
3/7/2020,neutral,0.032
3/8/2020,negative,-0.06554
3/9/2020,negative,-0.093657143
3/10/2020,neutral,-0.011966667
3/11/2020,negative,-0.1524
3/12/2020,negative,-0.157033333
3/13/2020,negative,-0.2960375
3/14/2020,neutral,-0.011071429
3/15/2020,neutral,-0.039014286
3/16/2020,neutral,0.01913
3/17/2020,neutral,-0.04555
3/18/2020,positive,0.168685714
3/19/2020,positive,0.05046
3/20/2020,neutral,0.01869
3/21/2020,positive,0.0848
3/22/2020,neutral,0.01426
3/23/2020,neutral,0.041866667
3/24/2020,neutral,-0.0209
3/25/2020,neutral,-0.01658
3/26/2020,negative,-0.082
3/27/2020,positive,0.14736
3/28/2020,negative,-0.127266667
3/29/2020,neutral,0.02924
3/30/2020,neutral,0.0259375
3/31/2020,negative,-0.1406
4/1/2020,positive,0.107944444
4/2/2020,positive,0.16005
4/3/2020,negative,-0.066966667
4/4/2020,negative,-0.123316667
4/5/2020,negative,-0.07576
4/6/2020,positive,0.132483333
4/7/2020,positive,0.1567125
4/8/2020,neutral,-0.022944444
4/9/2020,positive,0.08694
4/10/2020,negative,-0.057071429
4/11/2020,neutral,-0.007700000
4/12/2020,neutral,0
4/13/2020,negative,-0.1014
4/14/2020,positive,0.09062
4/15/2020,negative,-0.063
4/16/2020,neutral,-0.005200000
4/17/2020,neutral,0.008666667
4/18/2020,negative,-0.062771429
4/19/2020,negative,-0.142975
4/20/2020,positive,0.085466667
4/21/2020,negative,-0.081211111
4/22/2020,neutral,0.02874
4/23/2020,positive,0.05427
4/24/2020,neutral,-0.043328571
4/25/2020,positive,0.131485714
4/26/2020,negative,-0.082133333
4/27/2020,neutral,-0.021666667
4/28/2020,positive,0.08315
4/29/2020,neutral,-0.04802
4/30/2020,positive,0.223014286
5/1/2020,positive,0.076914286
5/2/2020,negative,-0.146475
5/3/2020,neutral,0.01138
5/4/2020,positive,0.09757
5/5/2020,positive,0.173888889
5/6/2020,neutral,-0.004211111
5/7/2020,positive,0.064566667
5/8/2020,neutral,0.0342625
5/9/2020,positive,0.213116667
5/10/2020,negative,-0.05955
5/11/2020,neutral,0.005480000
5/12/2020,positive,0.06926
5/13/2020,neutral,-0.04515
5/14/2020,neutral,-0.03035
5/15/2020,neutral,0.02174
5/16/2020,positive,0.06658
5/17/2020,neutral,0
5/18/2020,positive,0.3134
5/19/2020,positive,0.119475
5/20/2020,neutral,0.020488889
5/21/2020,positive,0.062057143
5/22/2020,neutral,0.03988
5/23/2020,negative,-0.056175
5/25/2020,negative,-0.095075
5/26/2020,neutral,0.0332625
5/27/2020,neutral,0.039725
5/28/2020,positive,0.08947
5/29/2020,negative,-0.106066667
5/30/2020,neutral,-0.015616667
5/31/2020,positive,0.06205
6/1/2020,negative,-0.1526
6/2/2020,positive,0.148766667
6/3/2020,neutral,-0.029342857
6/4/2020,negative,-0.18263
6/5/2020,negative,-0.0531
6/6/2020,negative,-0.12076
6/7/2020,neutral,-0.007083333
6/8/2020,negative,-0.128511111
6/9/2020,positive,0.0549375
6/10/2020,neutral,-0.0224
6/11/2020,neutral,-0.00603
6/12/2020,neutral,0.03969
6/13/2020,neutral,-0.044083333
6/14/2020,negative,-0.05075
6/15/2020,positive,0.05056
6/16/2020,negative,-0.23065
6/17/2020,positive,0.15322
6/18/2020,negative,-0.176225
6/19/2020,neutral,0.03998
6/20/2020,negative,-0.1333
6/21/2020,negative,-0.15812
6/22/2020,neutral,-0.02208
6/23/2020,positive,0.097614286
6/24/2020,negative,-0.0645375
6/25/2020,positive,0.1093
6/26/2020,negative,-0.051966667
6/27/2020,positive,0.18308
6/28/2020,neutral,-0.0457
6/29/2020,neutral,-0.0361
6/30/2020,negative,-0.12146
7/1/2020,positive,0.132285714
7/2/2020,neutral,-0.02502
7/3/2020,positive,0.16964
7/4/2020,positive,0.1236
7/5/2020,neutral,0.030425
7/6/2020,neutral,0.0058
7/7/2020,neutral,-0.01618
7/8/2020,negative,-0.105688889
7/9/2020,negative,-0.18836
7/10/2020,neutral,-0.02745
7/11/2020,negative,-0.11665
7/12/2020,neutral,0.0498
