Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
5/14/2021,positive,0.558445,12.3,131,0.13635
5/15/2021,positive,0.509789,-9.5,132,0.10212
5/16/2021,positive,0.514244,0.9,133,0.101975
5/17/2021,negative,0.487504,-5.5,134,-0.166325
5/18/2021,positive,0.476615,-2.3,135,0.124788889
5/19/2021,neutral,0.331105,-43.9,136,-0.02261
5/20/2021,negative,0.399168,17.1,137,-0.08735
5/21/2021,neutral,0.359113,-11.2,138,-0.033666667
5/22/2021,positive,0.34246,-4.9,139,0.1840125
5/23/2021,positive,0.306917,-11.6,140,0.1405
5/24/2021,positive,0.366264,16.2,141,0.160711111
5/25/2021,positive,0.346708,-5.6,142,0.14462
5/26/2021,neutral,0.352559,1.7,143,0.039314286
5/27/2021,positive,0.33461,-5.4,144,0.1061125
5/28/2021,positive,0.31186,-7.3,145,0.054542857
5/29/2021,positive,0.303312,-2.8,146,0.1468
5/30/2021,positive,0.302274,-0.3,147,0.13144
5/31/2021,negative,0.32692,7.5,148,-0.057275
6/1/2021,neutral,0.370131,11.7,149,-0.00484
6/2/2021,positive,0.423619,12.6,150,0.101925
6/3/2021,positive,0.399471,-6,151,0.127185714
6/4/2021,neutral,0.376414,-6.1,152,-0.02732
6/5/2021,positive,0.371644,-1.3,153,0.10715
6/6/2021,positive,0.371311,-0.1,154,0.10423
6/7/2021,neutral,0.331746,-11.9,155,-0.005210000
6/8/2021,positive,0.326312,-1.7,156,0.258728571
6/9/2021,neutral,0.343533,5,157,-0.037
6/10/2021,positive,0.326307,-5.3,158,0.18765
6/11/2021,neutral,0.318962,-2.3,159,0.005375000
6/12/2021,positive,0.312252,-2.1,160,0.192533333
6/13/2021,neutral,0.323968,3.6,161,0
6/14/2021,neutral,0.32737,1,162,0.040133333
6/15/2021,neutral,0.320025,-2.3,163,0.02732
6/16/2021,positive,0.308736,-3.7,164,0.05179
6/17/2021,neutral,0.306402,-0.8,165,0.00205
6/18/2021,neutral,0.293733,-4.3,166,-0.01951
6/19/2021,negative,0.286643,-2.5,167,-0.1312
6/20/2021,neutral,0.280281,-2.3,168,-0.00387
6/21/2021,neutral,0.177995,-57.5,169,0.03285
6/22/2021,neutral,0.190617,6.6,170,-0.03622
6/23/2021,neutral,0.234956,18.9,171,-0.02032
6/24/2021,neutral,0.264099,11,172,0.04969
6/25/2021,neutral,0.237525,-11.2,173,0.03303
6/26/2021,neutral,0.245535,3.3,174,-0.035116667
6/27/2021,neutral,0.26409,7,175,0
6/28/2021,positive,0.257004,-2.8,176,0.21567
6/29/2021,positive,0.263463,2.5,177,0.1837
6/30/2021,neutral,0.254237,-3.6,178,0.0265875
7/1/2021,positive,0.243529,-4.4,179,0.0523375
7/2/2021,positive,0.245191,0.7,180,0.08239
7/3/2021,positive,0.246459,0.5,181,0.1129375
7/4/2021,positive,0.246469,0,182,0.28434
7/5/2021,negative,0.230902,-6.7,183,-0.080811111
7/6/2021,neutral,0.234201,1.4,184,0.02982
7/7/2021,neutral,0.224266,-4.4,185,-0.0348375
7/8/2021,negative,0.20683,-8.4,186,-0.063511111
7/9/2021,positive,0.219703,5.9,187,0.1522
7/10/2021,negative,0.213672,-2.8,188,-0.146883333
7/11/2021,neutral,0.215355,0.8,189,0
7/12/2021,positive,0.207657,-3.7,190,0.135933333
7/13/2021,neutral,0.199859,-3.9,191,0.032244444
7/14/2021,neutral,0.197627,-1.1,192,-0.00327
7/15/2021,neutral,0.185165,-6.7,193,-0.01479
7/16/2021,neutral,0.171835,-7.8,194,-0.00635
7/17/2021,negative,0.187589,8.4,195,-0.051066667
7/18/2021,positive,0.181536,-3.3,196,0.18085
7/19/2021,neutral,0.17371,-4.5,197,-0.03391
7/20/2021,neutral,0.170541,-1.9,198,-0.030722222
7/21/2021,neutral,0.190441,10.4,199,0.02908
7/22/2021,positive,0.191083,0.3,200,0.18555
7/23/2021,positive,0.195121,2.1,201,0.082377778
7/24/2021,positive,0.197186,1,202,0.211225
7/25/2021,positive,0.198053,0.4,203,0.1887
7/26/2021,positive,0.203745,2.8,204,0.15246
7/27/2021,neutral,0.205785,1,205,-0.026522222
7/28/2021,neutral,0.205811,0,206,0.0361
7/29/2021,positive,0.204911,-0.4,207,0.095966667
7/30/2021,positive,0.208862,1.9,208,0.1313
7/31/2021,positive,0.207792,-0.5,209,0.07946
8/1/2021,negative,0.203921,-1.9,210,-0.06364
8/2/2021,positive,0.203123,-0.4,211,0.058411111
8/3/2021,positive,0.19607,-3.6,212,0.092133333
8/4/2021,positive,0.201226,2.6,213,0.09007
8/5/2021,negative,0.200814,-0.2,214,-0.0683
8/6/2021,positive,0.204823,2,215,0.2201
8/7/2021,positive,0.262389,21.9,216,0.192925
8/8/2021,positive,0.240105,-9.3,217,0.200711111
8/9/2021,negative,0.256119,6.3,218,-0.054088889
8/10/2021,neutral,0.257642,0.6,219,-0.0094
8/11/2021,positive,0.265381,2.9,220,0.06085
8/12/2021,neutral,0.263916,-0.6,221,0.026825
8/13/2021,positive,0.287268,8.1,222,0.1035
8/14/2021,neutral,0.294368,2.4,223,0
8/15/2021,positive,0.339875,13.4,224,0.134455556
8/16/2021,negative,0.319416,-6.4,225,-0.075411111
8/17/2021,positive,0.298996,-6.8,226,0.08585
8/18/2021,neutral,0.302868,1.3,227,0.018944444
8/19/2021,positive,0.318065,4.8,228,0.08483
8/20/2021,positive,0.327063,2.8,229,0.210911111
8/21/2021,negative,0.317131,-3.1,230,-0.118416667
8/22/2021,positive,0.314753,-0.8,231,0.08676
8/23/2021,positive,0.317887,1,232,0.162466667
8/24/2021,neutral,0.289203,-9.9,233,0.0271875
8/25/2021,neutral,0.292422,1.1,234,0
8/26/2021,neutral,0.268142,-9.1,235,0.03534
8/27/2021,negative,0.294736,9,236,-0.0895125
8/28/2021,neutral,0.286307,-2.9,237,-0.023755556
8/29/2021,positive,0.280978,-1.9,238,0.1164
8/30/2021,positive,0.272247,-3.2,239,0.2981
8/31/2021,positive,0.278372,2.2,240,0.07584
9/1/2021,neutral,0.294246,5.4,241,-0.027414286
9/2/2021,neutral,0.294814,0.2,242,-0.018055556
9/3/2021,positive,0.296542,0.6,243,0.082866667
9/4/2021,positive,0.299575,1,244,0.216975
9/5/2021,positive,0.314389,4.7,245,0.180433333
9/6/2021,positive,0.308992,-1.7,246,0.068266667
9/7/2021,negative,0.255618,-20.9,247,-0.0502375
9/8/2021,neutral,0.25654,0.4,248,0.037255556
9/9/2021,neutral,0.252714,-1.5,249,0.0428
9/10/2021,positive,0.239684,-5.4,250,0.246016667
9/11/2021,negative,0.241202,0.6,251,-0.169983333
9/12/2021,neutral,0.250027,3.5,252,0.012455556
9/13/2021,positive,0.235911,-6,253,0.100014286
9/14/2021,neutral,0.240686,2,254,-0.001440000
9/15/2021,positive,0.247841,2.9,255,0.22138
9/16/2021,neutral,0.241831,-2.5,256,0.02984
9/17/2021,positive,0.240318,-0.6,257,0.120242857
9/18/2021,positive,0.241474,0.5,258,0.100475
9/19/2021,positive,0.233142,-3.6,259,0.29278
9/20/2021,negative,0.208724,-11.7,260,-0.051677778
9/21/2021,neutral,0.201109,-3.8,261,0.030588889
9/22/2021,positive,0.224607,10.5,262,0.090985714
9/23/2021,neutral,0.224674,0,263,0.030788889
9/24/2021,neutral,0.209368,-7.3,264,0.0357
9/25/2021,positive,0.20844,-0.4,265,0.0696
9/26/2021,negative,0.205076,-1.6,266,-0.056533333
9/27/2021,positive,0.199883,-2.6,267,0.150955556
9/28/2021,neutral,0.196668,-1.6,268,0.02263
9/29/2021,neutral,0.198725,1,269,-0.028
9/30/2021,neutral,0.204072,2.6,270,0.0405875
10/1/2021,positive,0.222879,8.4,271,0.199357143
10/2/2021,positive,0.218772,-1.9,272,0.33844
10/3/2021,neutral,0.221688,1.3,273,0
10/4/2021,positive,0.241359,8.2,274,0.144728571
10/5/2021,positive,0.251678,4.1,275,0.16762
10/6/2021,positive,0.254602,1.1,276,0.2614
10/7/2021,positive,0.242844,-4.8,277,0.102675
10/8/2021,negative,0.244257,0.6,278,-0.07755
10/9/2021,neutral,0.246731,1,279,0
10/10/2021,positive,0.228687,-7.9,280,0.1204
10/11/2021,positive,0.231028,1,281,0.05505
10/12/2021,positive,0.225971,-2.2,282,0.193533333
10/13/2021,positive,0.232459,2.8,283,0.10302
10/14/2021,neutral,0.232533,0,284,0.00724
10/15/2021,positive,0.234294,0.8,285,0.171316667
10/16/2021,neutral,0.237293,1.3,286,0
10/17/2021,positive,0.237615,0.1,287,0.11315
10/18/2021,positive,0.247001,3.8,288,0.167666667
10/19/2021,positive,0.245241,-0.7,289,0.112425
10/20/2021,negative,0.254545,3.7,290,-0.1197125
10/21/2021,positive,0.242262,-5.1,291,0.0532
10/22/2021,neutral,0.244428,0.9,292,0.01716
10/23/2021,positive,0.250914,2.6,293,0.15415
10/24/2021,neutral,0.275234,8.8,294,0
10/25/2021,positive,0.2648,-3.9,295,0.17216
10/26/2021,positive,0.256095,-3.4,296,0.08085
10/27/2021,negative,0.238037,-7.6,297,-0.0547
10/28/2021,positive,0.299608,20.6,298,0.07992
10/29/2021,neutral,0.288035,-4,299,0.04078
10/30/2021,negative,0.268817,-7.1,300,-0.071522222
10/31/2021,neutral,0.279805,3.9,301,0.01195
11/1/2021,positive,0.27183,-2.9,302,0.3766
11/2/2021,positive,0.274537,1,303,0.153055556
11/3/2021,neutral,0.269391,-1.9,304,-0.035722222
11/4/2021,positive,0.263327,-2.3,305,0.1339
11/5/2021,neutral,0.261229,-0.8,306,-0.0425
11/6/2021,positive,0.261727,0.2,307,0.09034
11/7/2021,positive,0.26682,1.9,308,0.17244
11/8/2021,positive,0.281713,5.3,309,0.059544444
11/9/2021,neutral,0.273674,-2.9,310,0.02354
11/10/2021,neutral,0.255951,-6.9,311,-0.03551
11/11/2021,positive,0.261131,2,312,0.106725
11/12/2021,positive,0.25942,-0.7,313,0.079375
11/13/2021,negative,0.261256,0.7,314,-0.080033333
11/14/2021,neutral,0.262989,0.7,315,0
11/15/2021,positive,0.256691,-2.5,316,0.125766667
11/16/2021,positive,0.237027,-8.3,317,0.058233333
11/17/2021,positive,0.237861,0.4,318,0.20777
11/18/2021,positive,0.221888,-7.2,319,0.06185
11/19/2021,neutral,0.2333,4.9,320,-0.03014
11/20/2021,positive,0.233511,0.1,321,0.07636
11/21/2021,positive,0.226132,-3.3,322,0.3163
11/22/2021,negative,0.219882,-2.8,323,-0.11538
11/23/2021,neutral,0.227022,3.1,324,-0.010133333
11/24/2021,neutral,0.217538,-4.4,325,0.0288
11/25/2021,positive,0.221651,1.9,326,0.063733333
11/26/2021,neutral,0.202489,-9.5,327,-0.03534
11/27/2021,negative,0.205333,1.4,328,-0.10446
11/28/2021,positive,0.207794,1.2,329,0.106066667
11/29/2021,neutral,0.215297,3.5,330,-0.0201875
11/30/2021,neutral,0.214814,-0.2,331,0.047677778
12/1/2021,positive,0.209347,-2.6,332,0.109633333
12/2/2021,neutral,0.20994,0.3,333,0.004675
12/3/2021,positive,0.200059,-4.9,334,0.065542857
12/4/2021,negative,0.178969,-11.8,335,-0.08956
12/5/2021,positive,0.17175,-4.2,336,0.1291625
12/6/2021,neutral,0.178143,3.6,337,0.023944444
12/7/2021,neutral,0.176508,-0.9,338,-0.0066
12/8/2021,positive,0.179421,1.6,339,0.06158
12/9/2021,positive,0.169246,-6,340,0.130455556
12/10/2021,positive,0.16482,-2.7,341,0.16225
12/11/2021,positive,0.169099,2.5,342,0.079233333
12/12/2021,neutral,0.169732,0.4,343,-0.032
12/13/2021,positive,0.157246,-7.9,344,0.1043
12/14/2021,positive,0.190918,17.6,345,0.056125
12/15/2021,neutral,0.180995,-5.5,346,-0.0112
12/16/2021,negative,0.173295,-4.4,347,-0.06228
12/17/2021,neutral,0.168635,-2.8,348,0.0177
12/18/2021,negative,0.17238,2.2,349,-0.23535
12/19/2021,neutral,0.169535,-1.7,350,-0.047675
12/20/2021,negative,0.16728,-1.3,351,-0.112988889
12/21/2021,positive,0.17093,2.1,352,0.07922
12/22/2021,neutral,0.173275,1.4,353,0.04177
