LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,TRUSTGOV,TOT,PC,A,2016,55.2613566,
DEU,TRUSTGOV,TOT,PC,A,2017,62.29356524,
DEU,TRUSTGOV,TOT,PC,A,2018,59.29905866,
DEU,TRUSTGOV,TOT,PC,A,2019,56.84604275,
DEU,TRUSTGOV,TOT,PC,A,2020,65.40631043,
DEU,TRUSTGOV,TOT,PC,A,2021,60.47599324,
DEU,TRUSTGOV,TOT,PC,A,2022,60.76037778,
GRC,TRUSTGOV,TOT,PC,A,2006,48.75434897,
GRC,TRUSTGOV,TOT,PC,A,2007,38.14284518,
GRC,TRUSTGOV,TOT,PC,A,2009,31.62067696,
GRC,TRUSTGOV,TOT,PC,A,2010,23.65024106,
GRC,TRUSTGOV,TOT,PC,A,2011,17.51512145,
GRC,TRUSTGOV,TOT,PC,A,2012,12.62189916,
GRC,TRUSTGOV,TOT,PC,A,2013,14.36085813,
GRC,TRUSTGOV,TOT,PC,A,2014,18.82927394,
GRC,TRUSTGOV,TOT,PC,A,2015,43.73189349,
GRC,TRUSTGOV,TOT,PC,A,2016,13.24865551,
GRC,TRUSTGOV,TOT,PC,A,2017,13.98809024,
GRC,TRUSTGOV,TOT,PC,A,2018,15.7048654,
GRC,TRUSTGOV,TOT,PC,A,2019,39.64246192,
GRC,TRUSTGOV,TOT,PC,A,2020,39.74697609,
GRC,TRUSTGOV,TOT,PC,A,2021,40.17363946,
GRC,TRUSTGOV,TOT,PC,A,2022,25.62661441,
HUN,TRUSTGOV,TOT,PC,A,2006,36.05263611,
HUN,TRUSTGOV,TOT,PC,A,2007,24.97135729,
HUN,TRUSTGOV,TOT,PC,A,2008,19.99417805,
HUN,TRUSTGOV,TOT,PC,A,2010,25.15681235,
HUN,TRUSTGOV,TOT,PC,A,2011,35.97941653,
HUN,TRUSTGOV,TOT,PC,A,2012,20.97782681,
HUN,TRUSTGOV,TOT,PC,A,2013,32.78959496,
HUN,TRUSTGOV,TOT,PC,A,2014,30.8385162,
HUN,TRUSTGOV,TOT,PC,A,2015,27.92119034,
HUN,TRUSTGOV,TOT,PC,A,2016,30.37723301,
HUN,TRUSTGOV,TOT,PC,A,2017,37.77704988,
HUN,TRUSTGOV,TOT,PC,A,2018,38.80440386,
HUN,TRUSTGOV,TOT,PC,A,2019,48.39341864,
HUN,TRUSTGOV,TOT,PC,A,2020,42.87332512,
HUN,TRUSTGOV,TOT,PC,A,2021,41.65661382,
HUN,TRUSTGOV,TOT,PC,A,2022,44.19117255,
ISL,TRUSTGOV,TOT,PC,A,2008,23.81031111,
ISL,TRUSTGOV,TOT,PC,A,2012,25.73355758,
ISL,TRUSTGOV,TOT,PC,A,2013,45.65659337,
ISL,TRUSTGOV,TOT,PC,A,2015,42.72281336,
ISL,TRUSTGOV,TOT,PC,A,2016,36.35183024,
ISL,TRUSTGOV,TOT,PC,A,2017,36.50419313,
ISL,TRUSTGOV,TOT,PC,A,2019,52.13770605,
ISL,TRUSTGOV,TOT,PC,A,2020,59.24072819,
ISL,TRUSTGOV,TOT,PC,A,2021,63.38867357,
ISL,TRUSTGOV,TOT,PC,A,2022,51.53249871,
IRL,TRUSTGOV,TOT,PC,A,2006,63.29269083,
IRL,TRUSTGOV,TOT,PC,A,2008,51.37279097,
IRL,TRUSTGOV,TOT,PC,A,2009,29.25692854,
IRL,TRUSTGOV,TOT,PC,A,2010,33.25793682,
IRL,TRUSTGOV,TOT,PC,A,2011,52.91041444,
IRL,TRUSTGOV,TOT,PC,A,2012,34.58727125,
IRL,TRUSTGOV,TOT,PC,A,2013,28.50155412,
IRL,TRUSTGOV,TOT,PC,A,2014,45.98823715,
IRL,TRUSTGOV,TOT,PC,A,2015,57.18410825,
IRL,TRUSTGOV,TOT,PC,A,2016,57.47397749,
IRL,TRUSTGOV,TOT,PC,A,2017,60.37996469,
IRL,TRUSTGOV,TOT,PC,A,2018,61.84052888,
IRL,TRUSTGOV,TOT,PC,A,2019,58.12159762,
IRL,TRUSTGOV,TOT,PC,A,2020,58.81482669,
IRL,TRUSTGOV,TOT,PC,A,2021,62.33894119,
ITA,TRUSTGOV,TOT,PC,A,2006,23.87379947,
ITA,TRUSTGOV,TOT,PC,A,2007,30.34241486,
ITA,TRUSTGOV,TOT,PC,A,2008,36.31165752,
ITA,TRUSTGOV,TOT,PC,A,2009,39.9521696,
ITA,TRUSTGOV,TOT,PC,A,2010,33.39163935,
ITA,TRUSTGOV,TOT,PC,A,2011,25.95596832,
ITA,TRUSTGOV,TOT,PC,A,2012,28.06946065,
ITA,TRUSTGOV,TOT,PC,A,2013,14.59721432,
