,date,vader_prediction
300,2022-08-13 04:26:20+00:00,neutral
301,2022-08-13 04:23:12+00:00,positive
302,2022-08-13 04:21:47+00:00,neutral
303,2022-08-13 04:19:37+00:00,neutral
304,2022-08-13 04:03:26+00:00,neutral
305,2022-08-13 03:24:34+00:00,neutral
306,2022-08-13 03:22:07+00:00,neutral
307,2022-08-14 20:25:25+00:00,negative
308,2022-08-14 18:06:19+00:00,neutral
309,2022-08-14 17:26:50+00:00,positive
310,2022-08-14 04:06:27+00:00,negative
311,2022-08-14 02:59:09+00:00,positive
312,2022-08-14 02:08:54+00:00,neutral
313,2022-08-15 23:33:24+00:00,positive
314,2022-08-17 07:49:25+00:00,negative
315,2022-08-17 07:29:58+00:00,positive
316,2022-08-17 05:09:23+00:00,positive
317,2022-08-17 04:59:51+00:00,neutral
318,2022-08-17 04:56:28+00:00,negative
319,2022-08-17 04:34:45+00:00,neutral
320,2022-08-17 00:26:00+00:00,neutral
321,2022-08-17 00:14:44+00:00,negative
322,2022-08-17 00:05:25+00:00,positive
323,2022-08-17 00:01:46+00:00,positive
324,2022-08-17 00:00:36+00:00,negative
325,2022-08-16 23:56:43+00:00,positive
326,2022-08-16 23:52:55+00:00,neutral
327,2022-08-16 17:29:52+00:00,positive
328,2022-08-17 14:59:16+00:00,positive
329,2022-08-17 09:22:09+00:00,neutral
330,2022-08-17 08:48:41+00:00,neutral
331,2022-08-17 08:48:00+00:00,neutral
332,2022-08-17 08:44:21+00:00,positive
333,2022-08-17 08:08:12+00:00,positive
334,2022-08-18 20:19:01+00:00,negative
335,2022-08-18 20:16:36+00:00,positive
336,2022-08-18 16:51:06+00:00,neutral
337,2022-08-18 15:56:39+00:00,neutral
338,2022-08-18 15:53:55+00:00,positive
339,2022-08-19 20:57:21+00:00,negative
340,2022-08-19 20:07:52+00:00,positive
341,2022-08-19 19:34:41+00:00,positive
342,2022-08-19 14:25:53+00:00,positive
343,2022-08-19 06:04:54+00:00,positive
344,2022-08-19 05:46:00+00:00,negative
345,2022-08-19 05:28:59+00:00,neutral
346,2022-08-21 01:04:46+00:00,positive
347,2022-08-20 17:43:15+00:00,negative
348,2022-08-22 06:57:42+00:00,positive
349,2022-08-22 06:55:01+00:00,neutral
350,2022-08-22 06:44:02+00:00,neutral
351,2022-08-22 06:42:02+00:00,positive
352,2022-08-22 06:40:07+00:00,positive
353,2022-08-22 06:35:26+00:00,positive
354,2022-08-21 19:06:23+00:00,positive
355,2022-08-21 19:02:05+00:00,positive
356,2022-08-21 14:41:54+00:00,neutral
357,2022-08-21 14:40:36+00:00,neutral
358,2022-08-21 14:34:21+00:00,neutral
359,2022-08-21 12:41:06+00:00,positive
360,2022-08-24 07:28:13+00:00,neutral
361,2022-08-24 05:49:16+00:00,positive
362,2022-08-24 05:44:21+00:00,neutral
363,2022-08-23 19:17:56+00:00,negative
364,2022-08-23 17:52:14+00:00,negative
365,2022-08-23 17:42:54+00:00,positive
366,2022-08-23 16:19:17+00:00,positive
367,2022-08-23 15:54:35+00:00,neutral
368,2022-08-23 15:50:28+00:00,neutral
369,2022-08-24 20:22:34+00:00,positive
370,2022-08-24 19:25:43+00:00,positive
371,2022-08-24 18:28:39+00:00,positive
372,2022-08-24 16:31:54+00:00,positive
373,2022-08-26 04:31:43+00:00,positive
374,2022-08-26 04:29:21+00:00,neutral
375,2022-08-26 04:27:02+00:00,negative
376,2022-08-26 04:10:43+00:00,positive
377,2022-08-26 00:42:37+00:00,positive
378,2022-08-26 00:13:51+00:00,negative
379,2022-08-25 22:49:28+00:00,neutral
380,2022-08-25 19:39:08+00:00,neutral
381,2022-08-25 19:33:21+00:00,positive
382,2022-08-25 16:29:50+00:00,negative
383,2022-08-27 01:33:14+00:00,negative
384,2022-08-26 23:40:47+00:00,negative
385,2022-08-26 22:27:59+00:00,negative
386,2022-08-26 22:23:52+00:00,positive
387,2022-08-26 20:02:24+00:00,positive
388,2022-08-26 17:48:58+00:00,positive
389,2022-08-26 13:51:54+00:00,negative
390,2022-08-28 18:01:21+00:00,positive
391,2022-08-28 17:57:56+00:00,positive
392,2022-08-28 17:56:12+00:00,neutral
393,2022-08-28 17:54:13+00:00,positive
394,2022-08-28 17:40:56+00:00,positive
395,2022-08-28 17:40:02+00:00,positive
396,2022-08-28 17:35:19+00:00,positive
397,2022-08-28 13:50:29+00:00,neutral
398,2022-08-28 13:27:05+00:00,neutral
399,2022-08-28 13:26:40+00:00,neutral
400,2022-08-28 13:22:40+00:00,positive
401,2022-08-28 05:29:11+00:00,positive
402,2022-08-28 04:26:03+00:00,neutral
403,2022-08-28 04:22:40+00:00,neutral
404,2022-08-30 08:38:22+00:00,positive
405,2022-08-30 08:38:06+00:00,neutral
406,2022-08-29 17:13:19+00:00,neutral
407,2022-08-29 02:18:35+00:00,positive
408,2022-08-29 02:11:30+00:00,positive
409,2022-08-29 02:11:12+00:00,positive
410,2022-08-28 23:51:49+00:00,neutral
411,2022-08-28 23:35:36+00:00,neutral
412,2022-08-28 22:54:36+00:00,neutral
413,2022-08-28 22:47:40+00:00,positive
414,2022-08-28 22:46:44+00:00,negative
415,2022-08-28 22:42:28+00:00,positive
416,2022-08-28 18:18:00+00:00,positive
417,2022-09-08 04:07:06+00:00,neutral
418,2022-09-08 03:56:50+00:00,positive
419,2022-09-08 03:52:39+00:00,negative
420,2022-08-30 22:52:58+00:00,neutral
421,2022-08-30 22:50:03+00:00,positive
422,2022-08-30 22:47:31+00:00,positive
423,2022-08-30 22:38:14+00:00,neutral
424,2022-09-01 04:09:39+00:00,positive
425,2022-09-01 04:05:27+00:00,positive
426,2022-08-31 15:39:27+00:00,neutral
427,2022-08-31 15:13:23+00:00,positive
428,2022-08-31 15:06:53+00:00,neutral
429,2022-09-01 20:49:50+00:00,positive
430,2022-09-03 02:09:27+00:00,neutral
431,2022-09-04 01:19:02+00:00,positive
432,2022-09-04 01:16:08+00:00,positive
433,2022-09-04 01:13:41+00:00,positive
434,2022-09-05 16:16:41+00:00,negative
435,2022-09-06 13:16:06+00:00,positive
436,2022-09-06 00:44:39+00:00,negative
437,2022-09-05 23:54:39+00:00,positive
438,2022-09-05 23:50:46+00:00,neutral
439,2022-09-05 18:18:01+00:00,neutral
440,2022-09-05 18:15:24+00:00,positive
441,2022-09-05 18:03:23+00:00,neutral
442,2022-09-05 18:01:44+00:00,negative
443,2022-09-05 17:59:54+00:00,positive
444,2022-09-05 17:36:15+00:00,positive
445,2022-09-05 17:02:23+00:00,positive
446,2022-09-07 04:19:58+00:00,neutral
447,2022-09-06 21:42:36+00:00,positive
448,2022-09-06 17:23:30+00:00,positive
449,2022-09-06 16:54:59+00:00,neutral
450,2022-09-06 16:47:44+00:00,neutral
451,2022-09-06 16:45:33+00:00,neutral
452,2022-09-06 15:50:29+00:00,negative
453,2022-09-08 17:39:57+00:00,positive
454,2022-09-08 17:36:17+00:00,neutral
455,2022-09-08 16:40:35+00:00,positive
456,2022-09-08 09:24:26+00:00,neutral
457,2022-09-08 09:22:07+00:00,neutral
458,2022-09-08 09:19:02+00:00,neutral
459,2022-09-08 08:20:13+00:00,neutral
460,2022-09-08 08:18:30+00:00,positive
461,2022-09-08 07:56:24+00:00,negative
462,2022-09-08 04:12:43+00:00,negative
463,2022-09-08 02:37:20+00:00,positive
464,2022-09-09 04:15:27+00:00,negative
465,2022-09-08 23:26:39+00:00,positive
466,2022-09-08 23:24:33+00:00,neutral
467,2022-09-08 23:06:38+00:00,positive
468,2022-09-08 23:04:33+00:00,neutral
469,2022-09-08 20:39:08+00:00,positive
470,2022-09-08 20:38:16+00:00,negative
471,2022-09-08 20:37:30+00:00,positive
472,2022-09-08 20:35:54+00:00,neutral
473,2022-09-10 01:50:49+00:00,neutral
474,2022-09-10 01:09:38+00:00,neutral
475,2022-09-09 23:52:33+00:00,negative
476,2022-09-09 23:40:48+00:00,negative
477,2022-09-09 22:32:27+00:00,positive
478,2022-09-09 22:29:06+00:00,positive
479,2022-09-09 22:22:27+00:00,neutral
480,2022-09-09 21:06:17+00:00,positive
481,2022-09-09 19:03:38+00:00,neutral
482,2022-09-11 03:00:14+00:00,neutral
483,2022-09-11 02:29:13+00:00,negative
484,2022-09-11 00:11:00+00:00,negative
485,2022-09-10 20:46:49+00:00,negative
486,2022-09-10 17:08:35+00:00,positive
487,2022-09-10 17:00:13+00:00,neutral
488,2022-09-12 05:44:11+00:00,neutral
489,2022-09-12 05:43:02+00:00,neutral
490,2022-09-12 04:19:57+00:00,positive
491,2022-09-12 03:25:03+00:00,neutral
492,2022-09-12 01:48:49+00:00,neutral
493,2022-09-11 21:34:12+00:00,neutral
494,2022-09-11 21:31:34+00:00,positive
495,2022-09-13 01:59:35+00:00,positive
496,2022-09-13 00:16:11+00:00,neutral
497,2022-09-12 22:19:11+00:00,positive
498,2022-09-12 22:13:56+00:00,positive
499,2022-09-12 20:07:08+00:00,neutral
500,2022-09-12 19:45:34+00:00,negative
501,2022-09-12 17:44:52+00:00,negative
502,2022-09-14 07:38:04+00:00,positive
503,2022-09-14 07:28:10+00:00,negative
504,2022-09-14 07:17:09+00:00,neutral
505,2022-09-14 04:05:18+00:00,neutral
506,2022-09-13 23:46:29+00:00,neutral
507,2022-09-13 23:05:40+00:00,neutral
508,2022-09-13 23:04:03+00:00,negative
509,2022-09-13 23:02:37+00:00,neutral
510,2022-09-13 20:53:56+00:00,positive
511,2022-09-13 20:12:26+00:00,negative
512,2022-09-13 19:32:33+00:00,positive
513,2022-09-13 19:26:55+00:00,positive
514,2022-09-13 18:48:18+00:00,negative
515,2022-09-13 18:07:16+00:00,positive
516,2022-09-13 18:05:36+00:00,neutral
517,2022-09-13 17:55:46+00:00,positive
518,2022-09-13 17:45:44+00:00,positive
519,2022-09-13 17:11:58+00:00,neutral
520,2022-09-13 16:56:48+00:00,positive
521,2022-09-13 16:56:16+00:00,neutral
522,2022-09-13 16:51:22+00:00,neutral
523,2022-09-13 16:42:49+00:00,positive
524,2022-09-15 15:55:27+00:00,positive
525,2022-09-15 15:50:07+00:00,neutral
526,2022-09-15 00:23:04+00:00,neutral
527,2022-09-17 22:16:08+00:00,neutral
528,2022-09-17 19:44:19+00:00,negative
529,2022-09-17 15:09:12+00:00,neutral
530,2022-09-17 14:45:55+00:00,neutral
531,2022-09-17 01:48:30+00:00,positive
532,2022-09-16 21:26:49+00:00,positive
533,2022-09-16 21:23:35+00:00,positive
534,2022-09-18 17:24:03+00:00,positive
535,2022-09-18 16:43:12+00:00,neutral
536,2022-09-18 03:52:29+00:00,positive
537,2022-09-19 18:00:22+00:00,positive
538,2022-09-19 17:14:34+00:00,positive
539,2022-09-19 17:13:42+00:00,negative
540,2022-09-19 16:28:12+00:00,positive
541,2022-09-19 15:16:05+00:00,neutral
542,2022-09-19 06:30:06+00:00,neutral
543,2022-09-19 03:26:40+00:00,positive
